ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:53:00,server_1,88.3,25.49,907.31,1353.17,27.34
20:53:00,server_20,91.25,99.47,889.84,962.84,46.75
20:53:00,server_19,9.87,85.61,138.84,173.53,93.71
20:53:00,server_18,63.08,37.89,18641.9,17737.92,24.71
20:53:00,server_17,46.97,23.11,72.14,50.27,5174.15
20:53:00,server_16,53.2,83.67,460.21,669.57,47.5
20:53:00,server_14,27.16,90.43,299.03,294.17,44.81
20:53:00,server_13,93.96,8.55,1089.0,1593.14,79.13
20:53:00,server_12,49.48,40.1,442.85,230.61,114.01
20:53:00,server_11,39.83,54.63,407.73,461.39,0.0
20:53:00,server_15,16.66,80.74,189.54,172.69,37.7
20:53:00,server_9,44.72,26.95,18.35,11.07,5007.58
20:53:00,server_8,97.46,87.72,993.25,877.33,54.27
20:53:00,server_7,20.18,21.18,140.66,179.03,5490.29
20:53:00,server_6,28.36,27.76,247.07,220.36,31.09
20:53:00,server_5,32.11,47.03,324.16,378.26,53.38
20:53:00,server_4,92.21,93.92,906.44,1343.14,29.31
20:53:00,server_3,57.55,57.97,560.22,354.82,43.44
20:53:00,server_2,18.6,88.09,226.49,335.94,65.28
20:53:00,server_10,69.58,86.48,701.64,636.1,121.62
20:53:05,server_13,65.36,42.62,1559.45,1372.89,1677.53
20:53:05,server_14,22.5,6.79,182.25,105.5,59.14
20:53:05,server_15,51.25,43.65,8422.3,7286.5,26.95
20:53:05,server_16,53.79,53.54,3186.66,3216.51,1592.85
20:53:05,server_20,24.52,34.26,109.07,141.55,7054.87
20:53:05,server_18,56.23,47.59,9840.93,9306.81,25.2
20:53:05,server_19,49.12,30.73,511.76,526.36,0.0
20:53:05,server_12,68.94,58.51,2883.3,2346.62,569.57
20:53:05,server_17,47.46,48.25,4434.2,4347.55,1335.89
20:53:05,server_11,42.32,68.79,4738.5,3855.08,1528.29
20:53:05,server_5,61.4,66.45,616.02,832.86,12.8
20:53:05,server_9,66.6,55.13,644.02,444.37,0.0
20:53:05,server_10,65.36,33.24,7051.4,7549.4,154.25
20:53:05,server_2,27.77,28.57,319.95,295.05,48.23
20:53:05,server_3,39.07,40.09,324.95,422.74,0.0
20:53:05,server_4,25.66,17.32,215.95,268.43,24.58
20:53:05,server_1,92.02,7.95,941.82,480.14,114.74
20:53:05,server_6,14.73,90.4,188.63,191.33,76.78
20:53:05,server_7,76.62,31.85,15791.68,18660.91,93.85
20:53:05,server_8,33.15,28.33,77.88,114.15,5150.99
20:53:10,server_20,29.8,92.14,338.5,442.62,110.96
20:53:10,server_19,45.93,23.89,105.92,68.21,8739.67
20:53:10,server_18,23.88,96.93,206.74,176.19,74.31
20:53:10,server_17,68.24,82.39,647.43,902.32,64.1
20:53:10,server_16,58.65,63.29,652.15,659.72,73.89
20:53:10,server_14,28.43,13.89,370.9,206.91,40.82
20:53:10,server_13,83.81,26.61,828.49,1176.55,82.08
20:53:10,server_12,58.09,47.78,1275.16,1459.13,1664.72
20:53:10,server_11,43.89,38.13,105.45,134.37,8642.56
20:53:10,server_15,24.01,47.12,123.2,143.98,3423.41
20:53:10,server_9,96.96,87.85,1044.09,1336.24,76.41
20:53:10,server_2,92.21,93.16,900.74,1306.52,106.35
20:53:10,server_3,6.03,87.73,95.6,67.84,0.0
20:53:10,server_4,59.31,51.04,8033.2,7126.97,11.85
20:53:10,server_5,88.66,95.49,872.53,1222.68,214.11
20:53:10,server_1,45.43,47.6,467.79,503.68,55.54
20:53:10,server_6,75.38,35.11,14409.77,16045.18,159.1
20:53:10,server_7,82.04,2.95,834.31,453.91,14.08
20:53:10,server_8,20.34,88.06,205.19,276.62,87.97
20:53:10,server_10,88.1,83.62,905.44,1103.0,34.3
