ts,server_id,disk_io
20:53:00,server_1,27.34
20:53:00,server_20,46.75
20:53:00,server_19,93.71
20:53:00,server_18,24.71
20:53:00,server_17,5174.15
20:53:00,server_16,47.5
20:53:00,server_14,44.81
20:53:00,server_13,79.13
20:53:00,server_12,114.01
20:53:00,server_11,0.0
20:53:00,server_15,37.7
20:53:00,server_9,5007.58
20:53:00,server_8,54.27
20:53:00,server_7,5490.29
20:53:00,server_6,31.09
20:53:00,server_5,53.38
20:53:00,server_4,29.31
20:53:00,server_3,43.44
20:53:00,server_2,65.28
20:53:00,server_10,121.62
20:53:05,server_13,1677.53
20:53:05,server_14,59.14
20:53:05,server_15,26.95
20:53:05,server_16,1592.85
20:53:05,server_20,7054.87
20:53:05,server_18,25.2
20:53:05,server_19,0.0
20:53:05,server_12,569.57
20:53:05,server_17,1335.89
20:53:05,server_11,1528.29
20:53:05,server_5,12.8
20:53:05,server_9,0.0
20:53:05,server_10,154.25
20:53:05,server_2,48.23
20:53:05,server_3,0.0
20:53:05,server_4,24.58
20:53:05,server_1,114.74
20:53:05,server_6,76.78
20:53:05,server_7,93.85
20:53:05,server_8,5150.99
20:53:10,server_20,110.96
20:53:10,server_19,8739.67
20:53:10,server_18,74.31
20:53:10,server_17,64.1
20:53:10,server_16,73.89
20:53:10,server_14,40.82
20:53:10,server_13,82.08
20:53:10,server_12,1664.72
20:53:10,server_11,8642.56
20:53:10,server_15,3423.41
20:53:10,server_9,76.41
20:53:10,server_2,106.35
20:53:10,server_3,0.0
20:53:10,server_4,11.85
20:53:10,server_5,214.11
20:53:10,server_1,55.54
20:53:10,server_6,159.1
20:53:10,server_7,14.08
20:53:10,server_8,87.97
20:53:10,server_10,34.3
20:53:15,server_12,139.12
20:53:15,server_19,0.0
20:53:15,server_18,66.12
20:53:15,server_17,92.41
20:53:15,server_16,31.82
20:53:15,server_15,56.96
20:53:15,server_14,4218.5
20:53:15,server_13,9121.31
20:53:15,server_11,57.85
20:53:15,server_20,0.0
20:53:15,server_9,10.4
20:53:15,server_1,3476.91
20:53:15,server_2,673.93
20:53:15,server_3,152.56
20:53:15,server_4,41.69
20:53:15,server_10,59.68
20:53:15,server_6,193.28
20:53:15,server_7,22.32
20:53:15,server_8,55.15
20:53:15,server_5,81.83
20:53:20,server_11,54.02
20:53:20,server_19,7.75
20:53:20,server_18,25.95
20:53:20,server_17,1318.4
20:53:20,server_16,69.45
20:53:20,server_15,6872.65
20:53:20,server_14,29.22
20:53:20,server_13,1466.66
20:53:20,server_12,6.31
20:53:20,server_20,78.02
20:53:20,server_10,0.0
20:53:20,server_8,75.13
20:53:20,server_7,79.16
20:53:20,server_6,169.8
20:53:20,server_5,94.37
20:53:20,server_4,97.55
20:53:20,server_3,91.2
20:53:20,server_2,158.39
20:53:20,server_1,747.8
20:53:20,server_9,3626.92
20:53:25,server_13,53.33
20:53:25,server_14,6.64
20:53:25,server_16,6004.68
20:53:25,server_12,0.93
20:53:25,server_18,5012.67
20:53:25,server_19,0.0
20:53:25,server_20,1.43
20:53:25,server_17,63.29
20:53:25,server_11,7723.88
20:53:25,server_15,49.56
20:53:25,server_9,5898.82
20:53:25,server_1,88.99
20:53:25,server_2,58.92
20:53:25,server_3,29.53
20:53:25,server_4,52.91
20:53:25,server_10,688.44
20:53:25,server_6,7265.78
20:53:25,server_7,595.73
20:53:25,server_8,949.37
20:53:25,server_5,183.29
20:53:30,server_20,150.41
20:53:30,server_19,0.0
20:53:30,server_18,7364.69
20:53:30,server_17,161.35
20:53:30,server_16,28.69
20:53:30,server_15,162.97
20:53:30,server_14,0.0
20:53:30,server_12,81.23
20:53:30,server_11,62.36
20:53:30,server_13,0.0
20:53:30,server_9,0.0
20:53:30,server_8,77.11
20:53:30,server_7,109.14
20:53:30,server_6,17.38
20:53:30,server_5,74.18
20:53:30,server_4,89.91
20:53:30,server_3,100.15
20:53:30,server_2,161.31
20:53:30,server_10,129.86
20:53:30,server_1,56.49
