ts,server_id,net_in,net_out
20:53:00,server_1,907.31,1353.17
20:53:00,server_20,889.84,962.84
20:53:00,server_19,138.84,173.53
20:53:00,server_18,18641.9,17737.92
20:53:00,server_17,72.14,50.27
20:53:00,server_16,460.21,669.57
20:53:00,server_14,299.03,294.17
20:53:00,server_13,1089.0,1593.14
20:53:00,server_12,442.85,230.61
20:53:00,server_11,407.73,461.39
20:53:00,server_15,189.54,172.69
20:53:00,server_9,18.35,11.07
20:53:00,server_8,993.25,877.33
20:53:00,server_7,140.66,179.03
20:53:00,server_6,247.07,220.36
20:53:00,server_5,324.16,378.26
20:53:00,server_4,906.44,1343.14
20:53:00,server_3,560.22,354.82
20:53:00,server_2,226.49,335.94
20:53:00,server_10,701.64,636.1
20:53:05,server_13,1559.45,1372.89
20:53:05,server_14,182.25,105.5
20:53:05,server_15,8422.3,7286.5
20:53:05,server_16,3186.66,3216.51
20:53:05,server_20,109.07,141.55
20:53:05,server_18,9840.93,9306.81
20:53:05,server_19,511.76,526.36
20:53:05,server_12,2883.3,2346.62
20:53:05,server_17,4434.2,4347.55
20:53:05,server_11,4738.5,3855.08
20:53:05,server_5,616.02,832.86
20:53:05,server_9,644.02,444.37
20:53:05,server_10,7051.4,7549.4
20:53:05,server_2,319.95,295.05
20:53:05,server_3,324.95,422.74
20:53:05,server_4,215.95,268.43
20:53:05,server_1,941.82,480.14
20:53:05,server_6,188.63,191.33
20:53:05,server_7,15791.68,18660.91
20:53:05,server_8,77.88,114.15
20:53:10,server_20,338.5,442.62
20:53:10,server_19,105.92,68.21
20:53:10,server_18,206.74,176.19
20:53:10,server_17,647.43,902.32
20:53:10,server_16,652.15,659.72
20:53:10,server_14,370.9,206.91
20:53:10,server_13,828.49,1176.55
20:53:10,server_12,1275.16,1459.13
20:53:10,server_11,105.45,134.37
20:53:10,server_15,123.2,143.98
20:53:10,server_9,1044.09,1336.24
20:53:10,server_2,900.74,1306.52
20:53:10,server_3,95.6,67.84
20:53:10,server_4,8033.2,7126.97
20:53:10,server_5,872.53,1222.68
20:53:10,server_1,467.79,503.68
20:53:10,server_6,14409.77,16045.18
20:53:10,server_7,834.31,453.91
20:53:10,server_8,205.19,276.62
20:53:10,server_10,905.44,1103.0
20:53:15,server_12,19325.19,15536.69
20:53:15,server_19,859.0,563.96
20:53:15,server_18,337.86,491.0
20:53:15,server_17,211.12,248.98
20:53:15,server_16,877.05,1290.27
20:53:15,server_15,374.45,365.18
20:53:15,server_14,165.89,240.11
20:53:15,server_13,68.75,49.76
20:53:15,server_11,78.27,43.11
20:53:15,server_20,343.05,257.53
20:53:15,server_9,410.58,226.59
20:53:15,server_1,126.99,158.84
20:53:15,server_2,3286.21,3710.12
20:53:15,server_3,958.87,1305.13
20:53:15,server_4,844.07,722.42
20:53:15,server_10,647.89,931.7
20:53:15,server_6,1018.58,858.91
20:53:15,server_7,922.45,763.71
20:53:15,server_8,653.35,643.78
20:53:15,server_5,989.4,568.68
20:53:20,server_11,885.47,1176.86
20:53:20,server_19,966.9,930.67
20:53:20,server_18,337.65,254.49
20:53:20,server_17,3771.12,3412.34
20:53:20,server_16,905.24,1001.21
20:53:20,server_15,134.49,136.63
20:53:20,server_14,6796.18,5551.91
20:53:20,server_13,4269.75,4273.1
20:53:20,server_12,651.0,771.22
20:53:20,server_20,78.63,55.52
20:53:20,server_10,91.31,57.08
20:53:20,server_8,217.07,117.47
20:53:20,server_7,603.33,503.24
20:53:20,server_6,163.11,235.22
20:53:20,server_5,869.24,1211.45
20:53:20,server_4,797.09,497.11
20:53:20,server_3,482.12,494.6
20:53:20,server_2,15785.33,14343.49
20:53:20,server_1,1969.65,1653.45
20:53:20,server_9,158.79,144.54
20:53:25,server_13,11409.96,12116.91
20:53:25,server_14,191.81,278.04
20:53:25,server_16,109.05,131.19
