server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,20:53:00,20:53:30,61.52,33.78,
server_1,20:53:10,20:53:40,39.85,44.28,
server_1,20:53:20,20:53:50,55.56,40.17,
server_1,20:53:30,20:54:00,63.42,27.12,
server_1,20:53:40,20:54:10,73.75,27.1,
server_1,20:53:50,20:54:20,71.74,36.3,
server_1,20:54:00,20:54:30,68.55,43.85,
server_1,20:54:10,20:54:40,63.03,44.64,
server_1,20:54:20,20:54:50,57.27,44.8,
server_1,20:54:30,20:55:00,41.4,52.73,
server_1,20:54:40,20:55:10,39.51,46.66,
server_1,20:54:50,20:55:20,30.59,44.68,
server_1,20:55:00,20:55:30,46.72,37.62,
server_1,20:55:10,20:55:40,60.95,36.49,
server_1,20:55:20,20:55:50,58.78,44.1,
server_1,20:55:30,20:56:00,49.95,63.83,
server_1,20:55:40,20:56:10,51.45,68.04,
server_1,20:55:50,20:56:20,64.38,54.96,
server_1,20:56:00,20:56:30,64.66,42.0,
server_1,20:56:10,20:56:40,53.74,46.97,
server_1,20:56:20,20:56:50,48.86,50.59,
server_1,20:56:30,20:57:00,43.16,59.59,
server_1,20:56:40,20:57:10,31.02,62.22,
server_1,20:56:50,20:57:20,23.61,63.06,
server_1,20:57:00,20:57:30,36.44,59.98,
server_1,20:57:10,20:57:40,53.76,57.96,
server_1,20:57:20,20:57:50,60.89,58.27,
server_1,20:57:30,20:58:00,58.22,48.29,
server_1,20:57:40,20:58:10,63.2,44.68,
server_1,20:57:50,20:58:20,66.4,47.12,
server_1,20:58:00,20:58:30,59.91,49.5,
server_1,20:58:10,20:58:40,57.9,43.79,
server_1,20:58:20,20:58:50,54.18,40.7,
server_1,20:58:30,20:59:00,49.51,29.75,
server_1,20:58:40,20:59:10,54.98,38.62,
server_1,20:58:50,20:59:20,58.5,54.81,
server_1,20:59:00,20:59:30,67.53,66.66,
server_1,20:59:10,20:59:40,57.99,55.91,
server_1,20:59:20,20:59:50,62.49,37.32,
server_1,20:59:30,21:00:00,55.77,41.1,
server_1,20:59:40,21:00:10,48.6,58.82,
server_1,20:59:50,21:00:20,46.18,54.1,
server_1,21:00:00,21:00:30,40.85,54.25,
server_1,21:00:10,21:00:40,50.31,33.76,
server_1,21:00:20,21:00:50,44.57,42.98,
server_1,21:00:30,21:01:00,65.66,23.39,
server_1,21:00:40,21:01:10,56.83,34.46,
server_1,21:00:50,21:01:20,58.9,37.66,
